,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19
Course Description,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Instructor Contact,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Class Communications,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0
Course Objectives,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Teaching Methods,0,0,2,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0
Course Outcomes,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Grading,0,0,3,3,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Attendance Policy,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0
DPRC,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0
